DATE,AVHWPEUSA065NRUG
1950-01-01,1990.144875296062
1951-01-01,2031.635133825973
1952-01-01,2027.81261226693
1953-01-01,2021.450284052321
1954-01-01,1998.1273446994308
1955-01-01,2005.5841429359132
1956-01-01,1990.4586874087697
1957-01-01,1962.604819962691
1958-01-01,1928.4612958843566
1959-01-01,1953.8412802221749
1960-01-01,1935.2630406249834
1961-01-01,1920.714524031754
1962-01-01,1940.2341139797013
1963-01-01,1928.448832221923
1964-01-01,1935.1488315639551
1965-01-01,1955.0965674799538
1966-01-01,1963.9077045758459
1967-01-01,1941.092771010088
1968-01-01,1937.4176623240005
1969-01-01,1938.0997951277081
1970-01-01,1893.423642727384
1971-01-01,1877.6512050654126
1972-01-01,1874.2224326106957
1973-01-01,1872.6631766817131
1974-01-01,1844.7812233583952
1975-01-01,1813.2479935405502
1976-01-01,1809.297069805971
1977-01-01,1809.3766545064927
1978-01-01,1815.7156366846689
1979-01-01,1817.713816712605
1980-01-01,1801.6114449126944
1981-01-01,1790.005617000504
1982-01-01,1770.6660914062809
1983-01-01,1779.871536983351
1984-01-01,1795.5766410898955
1985-01-01,1801.1373779503742
1986-01-01,1780.8393649782402
1987-01-01,1788.5174213286757
1988-01-01,1798.271529180383
1989-01-01,1810.2931027545183
1990-01-01,1795.5679097717468
1991-01-01,1787.3378165373788
1992-01-01,1774.8828523152486
1993-01-01,1789.9547167062574
1994-01-01,1807.827339306039
1995-01-01,1817.4743277792757
1996-01-01,1823.5205219268983
1997-01-01,1828.4882756219724
1998-01-01,1839.196147270202
1999-01-01,1841.3334555513804
2000-01-01,1844.853979581936
2001-01-01,1823.659338309164
2002-01-01,1806.6908128037055
2003-01-01,1790.8416783127977
2004-01-01,1789.5274600050323
2005-01-01,1787.013857129124
2006-01-01,1787.3511641754162
2007-01-01,1785.8835054158808
2008-01-01,1765.766302672826
2009-01-01,1728.6076494198196
2010-01-01,1735.0112060231488
2011-01-01,1744.9083649022216
2012-01-01,1746.8585644725867
2013-01-01,1752.5327760959776
2014-01-01,1758.2685169065576
2015-01-01,1770.0231741048067
2016-01-01,1766.7441252679635
2017-01-01,1763.7266760204493
2018-01-01,1774.7038111183933
2019-01-01,1765.346390059217
