LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,SUICIDE,TOT,100000PER,A,1960,13.9,
USA,SUICIDE,TOT,100000PER,A,1961,13.6,
USA,SUICIDE,TOT,100000PER,A,1962,14.2,
USA,SUICIDE,TOT,100000PER,A,1963,14.3,
USA,SUICIDE,TOT,100000PER,A,1964,14.0,
USA,SUICIDE,TOT,100000PER,A,1965,14.4,
USA,SUICIDE,TOT,100000PER,A,1966,14.1,
USA,SUICIDE,TOT,100000PER,A,1967,13.7,
USA,SUICIDE,TOT,100000PER,A,1968,13.5,B
USA,SUICIDE,TOT,100000PER,A,1969,13.9,
USA,SUICIDE,TOT,100000PER,A,1970,14.3,
USA,SUICIDE,TOT,100000PER,A,1971,14.3,
USA,SUICIDE,TOT,100000PER,A,1972,14.5,
USA,SUICIDE,TOT,100000PER,A,1973,14.2,
USA,SUICIDE,TOT,100000PER,A,1974,14.2,
USA,SUICIDE,TOT,100000PER,A,1975,14.5,
USA,SUICIDE,TOT,100000PER,A,1976,14.2,
USA,SUICIDE,TOT,100000PER,A,1977,14.6,
USA,SUICIDE,TOT,100000PER,A,1978,13.8,
USA,SUICIDE,TOT,100000PER,A,1979,13.4,B
USA,SUICIDE,TOT,100000PER,A,1980,12.9,
USA,SUICIDE,TOT,100000PER,A,1981,13.1,
USA,SUICIDE,TOT,100000PER,A,1982,13.3,
USA,SUICIDE,TOT,100000PER,A,1983,13.3,
USA,SUICIDE,TOT,100000PER,A,1984,13.4,
USA,SUICIDE,TOT,100000PER,A,1985,13.3,
USA,SUICIDE,TOT,100000PER,A,1986,13.9,
USA,SUICIDE,TOT,100000PER,A,1987,13.7,
USA,SUICIDE,TOT,100000PER,A,1988,13.3,
USA,SUICIDE,TOT,100000PER,A,1989,13.1,
USA,SUICIDE,TOT,100000PER,A,1990,13.3,
USA,SUICIDE,TOT,100000PER,A,1991,13.1,
USA,SUICIDE,TOT,100000PER,A,1992,12.8,
USA,SUICIDE,TOT,100000PER,A,1993,12.9,
USA,SUICIDE,TOT,100000PER,A,1994,12.7,
USA,SUICIDE,TOT,100000PER,A,1995,12.6,
USA,SUICIDE,TOT,100000PER,A,1996,12.3,
USA,SUICIDE,TOT,100000PER,A,1997,12.1,
USA,SUICIDE,TOT,100000PER,A,1998,11.9,
USA,SUICIDE,TOT,100000PER,A,1999,11.3,B
USA,SUICIDE,TOT,100000PER,A,2000,11.0,
USA,SUICIDE,TOT,100000PER,A,2001,11.3,
USA,SUICIDE,TOT,100000PER,A,2002,11.5,
USA,SUICIDE,TOT,100000PER,A,2003,11.3,
USA,SUICIDE,TOT,100000PER,A,2004,11.5,
USA,SUICIDE,TOT,100000PER,A,2005,11.4,
USA,SUICIDE,TOT,100000PER,A,2006,11.5,
USA,SUICIDE,TOT,100000PER,A,2007,11.9,
USA,SUICIDE,TOT,100000PER,A,2008,12.2,
USA,SUICIDE,TOT,100000PER,A,2009,12.4,
USA,SUICIDE,TOT,100000PER,A,2010,12.8,
USA,SUICIDE,TOT,100000PER,A,2011,13.0,
USA,SUICIDE,TOT,100000PER,A,2012,13.2,
USA,SUICIDE,TOT,100000PER,A,2013,13.4,
USA,SUICIDE,TOT,100000PER,A,2014,13.8,
USA,SUICIDE,TOT,100000PER,A,2015,14.0,
USA,SUICIDE,TOT,100000PER,A,2016,14.2,
USA,SUICIDE,TOT,100000PER,A,2017,14.8,
USA,SUICIDE,TOT,100000PER,A,2018,15.0,
USA,SUICIDE,TOT,100000PER,A,2019,14.7,
USA,SUICIDE,TOT,100000PER,A,2020,14.1,
